jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,ins_nm,gaji_max,gaji_min,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Selatan,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tengah,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Tengah,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Barat,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Bangka Belitung,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Riau,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Riau,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Lampung,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Maluku,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Timur,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Maluku Utara,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Barat,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Tengah,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Barat,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi D.I Yogyakarta,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bengkulu,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tenggara,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tengah,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jambi,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Barat,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Barat,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bali,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Utara,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Lampung,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Selatan,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PENYANDANG DISABILITAS,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Utara,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,BKKBN Pusat,23,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Aceh,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bali,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bengkulu,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi D.I Yogyakarta,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Gorontalo,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jambi,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Barat,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Utara,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Selatan,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sumatera Barat,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Utara,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PUTRA/PUTRI KALIMANTAN,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,BKKBN Pusat,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,BKKBN Pusat,36,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Jawa Timur,13,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Barat,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tengah,16,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Tengah,7,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kalimantan Timur,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Bangka Belitung,9,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Riau,7,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Kepulauan Riau,4,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,1,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua,3,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Timur,21,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Gorontalo,4,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua Barat,2,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,PUTRA/PUTRI PAPUA DAN PAPUA BARAT,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Papua,4,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Aceh,19,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Bali,13,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,16,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi D.I Yogyakarta,8,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Utara,20,Badan Kependudukan dan Keluarga Berencana Nasional,9024448,2785700,,,,,,,,,,
PERENCANA AHLI PERTAMA,UMUM,Klimatologi dan Geofisika,3,CPNS,Badan Meteorologi,8500000,5500000,Badan Meteorologi Klimatologi dan Geofisika | Sekretariat Utama | Biro Perencanaan,,,,,,,,,
CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT SISTEM PENANGGULANGAN BENCANA,1,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,PUTRA/PUTRI KALIMANTAN,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENCEGAHAN | DIREKTORAT KESIAPSIAGAAN,1,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENCEGAHAN | DIREKTORAT KESIAPSIAGAAN,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PERENCANAAN REHABILITASI DAN REKONSTRUKSI,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT PEMETAAN DAN EVALUASI RISIKO BENCANA,1,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENANGANAN DARURAT | DIREKTORAT DUKUNGAN SUMBER DAYA DARURAT,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PEMULIHAN DAN PENINGKATAN FISIK,1,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PEMULIHAN DAN PENINGKATAN SOSIAL,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,EKONOMI DAN SUMBER DAYA ALAM,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT SISTEM PENANGGULANGAN BENCANA,3,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENCEGAHAN | DIREKTORAT MITIGASI BENCANA,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KEBENCANAAN AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT PENGEMBANGAN STRATEGI PENANGGULANGAN BENCANA,1,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG LOGISTIK DAN PERALATAN | DIREKTORAT OPTIMASI JARINGAN LOGISTIK DAN PERALATAN,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PERENCANAAN REHABILITASI DAN REKONSTRUKSI,1,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG SISTEM DAN STRATEGI | DIREKTORAT PEMETAAN DAN EVALUASI RISIKO BENCANA,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PEMULIHAN DAN PENINGKATAN SOSIAL,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,EKONOMI DAN SUMBER DAYA ALAM,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENCEGAHAN | DIREKTORAT KESIAPSIAGAAN,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG LOGISTIK DAN PERALATAN | DIREKTORAT PENGELOLAAN LOGISTIK DAN PERALATAN,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG PENANGANAN DARURAT | DIREKTORAT DUKUNGAN SUMBER DAYA DARURAT,2,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,BADAN NASIONAL PENANGGULANGAN BENCANA | DEPUTI BIDANG REHABILITASI DAN REKONSTRUKSI | DIREKTORAT PEMULIHAN DAN PENINGKATAN FISIK,1,Badan Nasional Penanggulangan Bencana,8286200,5893500,,,,,,,,,,
CPNS,UMUM,ANALIS KETAHANAN PANGAN AHLI PERTAMA,Badan Pangan Nasional | DEPUTI BIDANG KETERSEDIAAN DAN STABILISASI PANGAN | DIREKTORAT STABILISASI PASOKAN DAN HARGA PANGAN,1,Badan Pangan Nasional,7000000,3000000,,,,,,,,,,
CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | DEPUTI BIDANG PENEMPATAN DAN PELINDUNGAN KAWASAN EROPA DAN TIMUR TENGAH | DIREKTORAT SISTEM DAN STRATEGI PENEMPATAN DAN PELINDUNGAN KAWASAN EROPA DAN TIMUR TENGAH,2,Badan Pelindungan Pekerja Migran Indonesia,7746358,6862100,,,,,,,,,,
CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | DEPUTI BIDANG PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA | DIREKTORAT SISTEM DAN STRATEGI PENEMPATAN DAN PELINDUNGAN KAWASAN ASIA DAN AFRIKA,1,Badan Pelindungan Pekerja Migran Indonesia,7746358,6862100,,,,,,,,,,
CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KALIMANTAN UTARA,1,Badan Pelindungan Pekerja Migran Indonesia,7746358,6862100,,,,,,,,,,
CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KALIMANTAN BARAT,2,Badan Pelindungan Pekerja Migran Indonesia,7746358,6862100,,,,,,,,,,
CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA DKI JAKARTA,1,Badan Pelindungan Pekerja Migran Indonesia,7726358,6862100,,,,,,,,,,
CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KEPULAUAN RIAU,2,Badan Pelindungan Pekerja Migran Indonesia,7726358,6862100,,,,,,,,,,
CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,Badan Pelindungan Pekerja Migran Indonesia,7726358,6862100,,,,,,,,,,
