formasi_id,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max
d8f84d73-6bd0-4eec-8457-ad875f812867,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sumatera V,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sumatera V,38,1,9400000,10000000
8a01869291548667019155110332456e,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Maluku Utara,Kementerian ATR/BPN - Maluku Utara,37,1,2000000,5500000
662bba05-c94c-41b3-8c36-474838758173,CPNS,ORANG ASLI PAPUA (OAP),POLISI PAMONG PRAJA AHLI PERTAMA,PEMERINTAH KABUPATEN RAJA AMPAT | SATUAN POLISI PAMONG PRAJA | BIDANG PENEGAKAN PERUNDANG-UNDANGAN DAERAH | SEKSI PENINDAKAN INTERNAL,PEMERINTAH KABUPATEN RAJA AMPAT | SATUAN POLISI PAMONG PRAJA | BIDANG PENEGAKAN PERUNDANG-UNDANGAN DAERAH | SEKSI PENINDAKAN INTERNAL,37,0,2785700,3400000
8a028492914fb63b01914fca028f1ab6,CPNS,UMUM,PENGELOLA PENGADAAN BARANG/JASA AHLI PERTAMA,BKKBN Pusat,BKKBN Pusat,36,1,2785700,9024448
8a01869291548667019154fe24df2b8b,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Bengkulu,Kementerian ATR/BPN - Bengkulu,36,1,2000000,5500000
33654b13-eb10-4217-b5a5-9f74a8897cc5,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Kalimantan II,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Kalimantan II,36,1,9400000,10000000
8a0282659168528c01916e18cf806f94,CPNS,UMUM,AUDITOR AHLI PERTAMA,| MAHKAMAH AGUNG RI,| MAHKAMAH AGUNG RI,36,1,2785700,11192700
8a01869291548667019155132df64865,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Nusa Tenggara Barat,Kementerian ATR/BPN - Nusa Tenggara Barat,35,1,2000000,5500000
b6b03428-17fd-4f01-ad59-6957e4d9839f,CPNS,UMUM,PENGENDALI DAMPAK LINGKUNGAN AHLI PERTAMA,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan | Direktorat Pencegahan Dampak Lingkungan Usaha dan Kegiatan | Sub Direktorat Pengembangan Sistem Kajian Dampak Lingkungan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan | Direktorat Pencegahan Dampak Lingkungan Usaha dan Kegiatan | Sub Direktorat Pengembangan Sistem Kajian Dampak Lingkungan,35,0,6000000,8000000
64db8df8-872f-4218-98c8-4600c6685d7f,CPNS,UMUM,AUDITOR AHLI PERTAMA,KABUPATEN KEPULAUAN TANIMBAR | INSPEKTORAT  DAERAH,KABUPATEN KEPULAUAN TANIMBAR | INSPEKTORAT  DAERAH,35,1,1000000,2785700
62918639-8963-4c49-bcd7-efca107a2d0a,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa I,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa I,32,1,9400000,10000000
8a0186929154866701915511f7cd4658,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Maluku,Kementerian ATR/BPN - Maluku,30,1,2000000,5500000
8a0384979144c543019145c1235031ba,CPNS,UMUM,PENATA PERLINDUNGAN SAKSI DAN KORBAN AHLI PERTAMA,LEMBAGA PERLINDUNGAN SAKSI DAN KORBAN (PUSAT),LEMBAGA PERLINDUNGAN SAKSI DAN KORBAN (PUSAT),30,0,3200000,6100000
8a03849a9149c64e01914a0d5d01227b,CPNS,UMUM,AUDITOR AHLI PERTAMA,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | UNITÂ PUSAT,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | UNITÂ PUSAT,29,0,2785700,8620850
8a0184a39146015601914937e4131f4a,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Direktorat Jenderal Kekayaan Negara (DJKN),Direktorat Jenderal Kekayaan Negara (DJKN),29,1,6208560,11243200
8df101da-79d6-40b2-a34b-7cc38148012e,CPNS,UMUM,AUDITOR AHLI PERTAMA,PEMERINTAH PROVINSI KALIMANTAN SELATAN | INSPEKTORAT,PEMERINTAH PROVINSI KALIMANTAN SELATAN | INSPEKTORAT,29,1,2785700,5000000
fb9ea100-009b-4125-858e-33a7cadbe007,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa II,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa II,28,1,9400000,10000000
8a018692915486670191550cdf334096,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Kepulauan Riau,Kementerian ATR/BPN - Kepulauan Riau,27,1,2000000,5500000
23b8af54-7c74-4da8-bd62-0d93fc6699a8,CPNS,UMUM,AUDITOR AHLI PERTAMA,PEMERINTAH KABUPATEN MALUKU BARAT DAYA | INSPEKTORAT | SEKRETARIAT INSPEKTORAT,PEMERINTAH KABUPATEN MALUKU BARAT DAYA | INSPEKTORAT | SEKRETARIAT INSPEKTORAT,27,1,3203600,4321200
afc1c869-19cc-42dd-928c-bdbc8138d843,CPNS,UMUM,AUDITOR AHLI PERTAMA,Pemerintah Provinsi Bali | INSPEKTORAT,Pemerintah Provinsi Bali | INSPEKTORAT,27,0,3200000,9400000
8a018692915486670191551ced4a5020,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Sulawesi Barat,Kementerian ATR/BPN - Sulawesi Barat,26,1,2000000,5500000
8a018692915486670191550b820c3eca,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Kepulauan Bangka Belitung,Kementerian ATR/BPN - Kepulauan Bangka Belitung,24,1,2000000,5500000
36f2c18a-6a16-452a-9628-90e10d5acc97,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sumatera II,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sumatera II,24,1,9400000,10000000
8a01869291548667019155008c562f78,CPNS,UMUM,PENATA PERTANAHAN AHLI PERTAMA,Kementerian ATR/BPN - Gorontalo,Kementerian ATR/BPN - Gorontalo,23,1,2000000,5500000
8a03849f914ed85101914fa815007eac,CPNS,UMUM,PENATA KEPENDUDUKAN DAN KELUARGA BERENCANA AHLI PERTAMA,BKKBN Pusat,BKKBN Pusat,23,1,2785700,9024448
d9a40cc6-b8f6-4ef7-88ca-a43dc6c80889,CPNS,UMUM,PENGENDALI DAMPAK LINGKUNGAN AHLI PERTAMA,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan | Direktorat Pencegahan Dampak Lingkungan Usaha dan Kegiatan | Sub Direktorat Penerapan Sistem Kajian Dampak Lingkungan,KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN | Direktorat Jenderal Planologi Kehutanan dan Tata Lingkungan | Direktorat Pencegahan Dampak Lingkungan Usaha dan Kegiatan | Sub Direktorat Penerapan Sistem Kajian Dampak Lingkungan,23,0,6000000,8000000
52acdced-b4a9-4460-89e3-29433bb0f722,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Direktorat Kepatuhan Intern | Subdirektorat Pembinaan dan Pengembangan Kepatuhan Intern dan Manajemen Risiko,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Direktorat Kepatuhan Intern | Subdirektorat Pembinaan dan Pengembangan Kepatuhan Intern dan Manajemen Risiko,22,1,9400000,10000000
8a018692915486670191550153fc3112,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Nusa Tenggara Timur,Perwakilan BKKBN Provinsi Nusa Tenggara Timur,21,1,2785700,9024448
8a0384b49150287401915448f01e6314,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Utara,Perwakilan BKKBN Provinsi Sulawesi Utara,20,1,2785700,9024448
df1bb7ed-31fb-480b-84b1-5197b4372d23,CPNS,UMUM,AUDITOR AHLI PERTAMA,PEMERINTAH KABUPATEN BANGKA | INSPEKTORAT,PEMERINTAH KABUPATEN BANGKA | INSPEKTORAT,20,1,2785700,4785700
71f9bf05-b583-4890-9eb5-64c58fda69be,CPNS,UMUM,AUDITOR AHLI PERTAMA,PEMERINTAH KABUPATEN BOJONEGORO | INSPEKTORAT,PEMERINTAH KABUPATEN BOJONEGORO | INSPEKTORAT,20,1,2785700,8427950
573d35a9-54ab-4f48-b715-8f71578f9716,CPNS,ORANG ASLI PAPUA (OAP),PENATA PENANGGULANGAN BENCANA AHLI PERTAMA,PEMERINTAH KABUPATEN RAJA AMPAT | BADAN PENANGGULANGAN BENCANA DAERAH | BIDANG PENCEGAHAN KESIAPSIAGAAN | SUB BIDANG PENCEGAHAN,PEMERINTAH KABUPATEN RAJA AMPAT | BADAN PENANGGULANGAN BENCANA DAERAH | BIDANG PENCEGAHAN KESIAPSIAGAAN | SUB BIDANG PENCEGAHAN,20,0,2785700,3400000
8a0384b4915028740191514e9f003cc7,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Aceh,Perwakilan BKKBN Provinsi Aceh,19,1,2785700,9024448
8a0384be915951ce0191598224c92832,CPNS,UMUM,PERENCANA AHLI PERTAMA,ZONA 1,ZONA 1,19,1,6240000,10000000
83ff8356-1467-47d7-8619-29061054c81a,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Cipta Karya | Balai Prasarana Permukiman Wilayah Kalimantan Timur,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Cipta Karya | Balai Prasarana Permukiman Wilayah Kalimantan Timur,19,1,9700000,10300000
e8cafbd7-8fbc-4387-8e97-2d9869baeb73,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Kalimantan II | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Kalimantan II | Subbagian Umum dan Tata Usaha,19,1,9700000,10300000
50e74836-1e84-4653-8b97-44f0ed4e4519,CPNS,UMUM,PENGAWAS PENYELENGGARAAN URUSAN PEMERINTAHAN DAERAH AHLI PERTAMA,Pemerintah Provinsi Bali | INSPEKTORAT,Pemerintah Provinsi Bali | INSPEKTORAT,19,0,3200000,9400000
6f944c24-eb32-4c2b-b7c2-db78ba8ac60d,CPNS,UMUM,ANALIS KEBIJAKAN AHLI PERTAMA,Kementerian Ketenagakerjaan | Badan Perencanaan dan Pengembangan Ketenagakerjaan | Pusat Pengembangan Kebijakan Ketenagakerjaan,Kementerian Ketenagakerjaan | Badan Perencanaan dan Pengembangan Ketenagakerjaan | Pusat Pengembangan Kebijakan Ketenagakerjaan,18,0,7000000,8500000
8a8f5b1f-e30a-4528-a2fd-777e10b709df,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi I,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi I,18,1,9400000,10000000
268c8a50-5400-4992-b438-ecb6035a9d13,CPNS,UMUM,AUDITOR AHLI PERTAMA,PEMERINTAH KABUPATEN MALUKU TENGGARA | INSPEKTORAT,PEMERINTAH KABUPATEN MALUKU TENGGARA | INSPEKTORAT,18,1,2000000,5000000
847e769d-c236-4b8d-88ec-213f107d4c98,CPNS,UMUM,PENGAWAS PENYELENGGARAAN URUSAN PEMERINTAHAN DAERAH AHLI PERTAMA,PEMERINTAH PROVINSI KALIMANTAN SELATAN | INSPEKTORAT,PEMERINTAH PROVINSI KALIMANTAN SELATAN | INSPEKTORAT,18,1,2785700,5000000
28154176-7b96-4a80-ac02-c36bc992797d,CPNS,UMUM,POLISI PAMONG PRAJA AHLI PERTAMA,Pemerintah Kabupaten Bangkalan | Satuan Polisi Pamong Praja,Pemerintah Kabupaten Bangkalan | Satuan Polisi Pamong Praja,17,1,2500000,5000000
8a01869291548667019154c6309c411d,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Sulawesi Tengah,Perwakilan BKKBN Provinsi Sulawesi Tengah,16,1,2785700,9024448
8a0384b49150287401915397c795683f,CPNS,UMUM,PENYULUH KELUARGA BERENCANA AHLI PERTAMA,Perwakilan BKKBN Provinsi Banten,Perwakilan BKKBN Provinsi Banten,16,1,2785700,9024448
8a0384b49150287401915436f6954c61,CPNS,LULUSAN TERBAIK,AUDITOR AHLI PERTAMA,Pusat,Pusat,16,1,3029400,8364550
e94a60f9-b054-41f0-be63-ff6ccfcabd83,CPNS,UMUM,AUDITOR AHLI PERTAMA,Kementerian Kesehatan | Inspektorat Jenderal | Inspektorat III,Kementerian Kesehatan | Inspektorat Jenderal | Inspektorat III,16,1,3000000,7500000
8a0282659168528c019169c7a09550df,CPNS,UMUM,DIPLOMAT AHLI PERTAMA,KEMENTERIAN LUAR NEGERI,KEMENTERIAN LUAR NEGERI,16,0,2200000,8000000
25e5342a-3557-4c7d-8e4f-39b369845ccf,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Kalimantan I | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Kalimantan I | Subbagian Umum dan Tata Usaha,16,1,9700000,10300000
7ddf2f11-214f-4c89-9d93-4a6f2efa2601,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi II | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi II | Subbagian Umum dan Tata Usaha,16,1,9700000,10300000
7f3071a8-73b3-41c5-ad11-6f0257869274,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi I | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi I | Subbagian Umum dan Tata Usaha,16,1,9700000,10300000
d01bbd29-ab34-42f1-8e52-d677dc31afbc,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Maluku | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Maluku | Subbagian Umum dan Tata Usaha,16,1,9700000,10300000
d11ca0c8-cd70-44e6-94de-69e7a9833ca7,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi III | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Sulawesi III | Subbagian Umum dan Tata Usaha,16,1,9700000,10300000
98e0c625-c939-413e-8580-f139ced8feaf,CPNS,UMUM,PENATA KELOLA PERUMAHAN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Direktorat Rumah Umum dan Komersial | Subdirektorat Perencanaan Teknis Rumah Umum dan Komersial,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Direktorat Rumah Umum dan Komersial | Subdirektorat Perencanaan Teknis Rumah Umum dan Komersial,16,1,9400000,10000000
8a0384bc91591cef01915926316507b1,CPNS,ORANG ASLI PAPUA (OAP),AUDITOR AHLI PERTAMA,PEMERINTAH KABUPATEN KAIMANA | INSPEKTORAT,PEMERINTAH KABUPATEN KAIMANA | INSPEKTORAT,16,0,2500000,2800000
90ce84c2-f476-4847-be2d-85056ce1d5be,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KALIMANTAN BARAT,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KALIMANTAN BARAT,15,1,6318740,6847998
06520def-9532-4efc-9448-7a6830830821,CPNS,UMUM,FASILITATOR PEMERINTAHAN,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA BARAT,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA BARAT,15,1,6318740,6847998
8a0384ba915598f4019155bef33919d5,CPNS,PENYANDANG DISABILITAS,ANALIS KEKAYAAN INTELEKTUAL AHLI PERTAMA,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAKÂ ASASIÂ MANUSIA,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA | KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAKÂ ASASIÂ MANUSIA,15,1,2785700,8620850
b8efa080-2449-4364-b787-c7d70aa79cd2,CPNS,UMUM,AUDITOR AHLI PERTAMA,Kementerian Kesehatan | Inspektorat Jenderal | Inspektorat IV,Kementerian Kesehatan | Inspektorat Jenderal | Inspektorat IV,15,1,3000000,7500000
3c3f7221-ab34-4138-b8f8-33740b52c344,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa IV | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa IV | Subbagian Umum dan Tata Usaha,15,1,9700000,10300000
5977255c-ae0e-4f0d-be6e-26ff865b2ac3,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa III | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa III | Subbagian Umum dan Tata Usaha,15,1,9700000,10300000
e860a54a-d6de-4977-9965-4432e1e35455,CPNS,UMUM,ANALIS PENGELOLAAN KEUANGAN APBN AHLI PERTAMA,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa II | Subbagian Umum dan Tata Usaha,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT | Direktorat Jenderal Perumahan | Balai Pelaksana Penyediaan Perumahan Jawa II | Subbagian Umum dan Tata Usaha,15,1,9700000,10300000
